vars,contraints,operation,elapsed_time
12289,4096,fillTableau,50088.957031
12289,4096,gauss1,10318.847656
12289,4096,solve,24564.736328
12289,4096,solve,23119.871094
12289,4096,solve,23077.888672
12289,4096,solve,24787.966797
12289,4096,solve,27388.927734
12289,4096,solve,28314.625000
12289,4096,solve,28147.519531
12289,4096,solve,28613.632812
12289,4096,solve,28682.240234
12289,4096,solve,28041.216797
12289,4096,solve,27923.423828
12289,4096,solve,27965.441406
12289,4096,solve,26667.007812
12289,4096,solve,25712.640625
12289,4096,solve,25718.785156
12289,4096,solve,25670.783203
12289,4096,solve,26147.839844
12289,4096,solve,25755.648438
12289,4096,solve,25915.392578
12289,4096,solve,25558.015625
12289,4096,solve,25887.744141
12289,4096,solve,26491.902344
12289,4096,solve,25448.447266
12289,4096,solve,25096.191406
12289,4096,solve,25880.574219
12289,4096,solve,25932.800781
12289,4096,solve,25875.455078
12289,4096,solve,25587.710938
12289,4096,solve,25389.087891
12289,4096,solve,25808.894531
12289,4096,solve,25543.679688
12289,4096,solve,25413.630859
12289,4096,solve,25858.175781
12289,4096,solve,25470.976562
12289,4096,solve,25288.703125
12289,4096,solve,25328.640625
12289,4096,solve,25509.023438
12289,4096,solve,25513.984375
12289,4096,solve,26589.183594
12289,4096,solve,26349.568359
12289,4096,solve,26294.335938
12289,4096,solve,26197.150391
12289,4096,solve,25615.359375
12289,4096,solve,25805.857422
12289,4096,solve,25777.150391
12289,4096,solve,25853.919922
12289,4096,solve,25737.216797
12289,4096,solve,26222.591797
12289,4096,solve,25692.160156
12289,4096,solve,25914.367188
12289,4096,solve,26810.304688
12289,4096,solve,26479.615234
12289,4096,solve,27279.359375
12289,4096,solve,26025.056641
12289,4096,solve,25968.638672
12289,4096,solve,26178.464844
12289,4096,solve,27991.072266
12289,4096,solve,26471.423828
12289,4096,solve,25861.121094
12289,4096,solve,25898.945312
12289,4096,solve,25700.351562
12289,4096,solve,25208.958984
12289,4096,solve,25726.976562
12289,4096,solve,25760.769531
12289,4096,solve,26056.767578
12289,4096,solve,25828.351562
12289,4096,solve,25960.447266
12289,4096,solve,26268.673828
12289,4096,solve,27417.601562
12289,4096,solve,27052.033203
12289,4096,solve,26431.488281
12289,4096,solve,26765.312500
12289,4096,solve,26115.072266
12289,4096,solve,25908.320312
12289,4096,solve,25929.728516
12289,4096,solve,25786.367188
12289,4096,solve,26065.919922
12289,4096,solve,25691.039062
12289,4096,solve,25832.318359
12289,4096,solve,25696.255859
12289,4096,solve,25676.865234
12289,4096,solve,25206.783203
12289,4096,solve,25165.824219
12289,4096,solve,26590.208984
12289,4096,solve,28645.439453
12289,4096,solve,27380.736328
12289,4096,solve,26742.785156
12289,4096,solve,26675.199219
12289,4096,solve,26719.232422
12289,4096,solve,26086.398438
12289,4096,solve,25558.015625
12289,4096,solve,25344.000000
12289,4096,solve,25266.175781
12289,4096,solve,25552.798828
12289,4096,solve,25474.048828
12289,4096,solve,25482.240234
12289,4096,solve,25549.824219
12289,4096,solve,25438.273438
12289,4096,solve,25644.031250
12289,4096,solve,25606.144531
12289,4096,solve,26169.376953
12289,4096,solve,25708.542969
12289,4096,solve,26317.824219
12289,4096,solve,25741.312500
12289,4096,solve,25865.214844
12289,4096,solve,25745.406250
12289,4096,solve,25646.080078
12289,4096,solve,25618.431641
12289,4096,solve,25284.609375
12289,4096,solve,25674.751953
12289,4096,solve,25252.865234
12289,4096,solve,25899.007812
12289,4096,solve,25681.919922
12289,4096,solve,25539.583984
12289,4096,solve,25403.392578
12289,4096,solve,25627.552734
12289,4096,solve,25647.103516
12289,4096,solve,25431.039062
12289,4096,solve,25527.296875
12289,4096,solve,25364.478516
12289,4096,solve,25392.128906
12289,4096,solve,25436.191406
12289,4096,solve,25316.353516
12289,4096,solve,25406.560547
12289,4096,solve,25413.630859
12289,4096,solve,25566.207031
12289,4096,solve,25659.328125
12289,4096,solve,25927.679688
12289,4096,solve,25743.361328
12289,4096,solve,25724.927734
12289,4096,solve,25734.144531
12289,4096,solve,25477.119141
12289,4096,solve,25838.591797
12289,4096,solve,25630.720703
12289,4096,solve,25618.431641
12289,4096,solve,25653.248047
12289,4096,solve,25657.345703
12289,4096,solve,25965.568359
12289,4096,solve,27412.478516
12289,4096,solve,25708.542969
12289,4096,solve,26269.695312
12289,4096,solve,26025.984375
12289,4096,solve,25136.126953
12289,4096,solve,25365.535156
12289,4096,solve,25683.966797
12289,4096,solve,25887.873047
12289,4096,solve,26783.744141
12289,4096,solve,26223.615234
12289,4096,solve,26273.792969
12289,4096,solve,25766.912109
12289,4096,solve,25595.873047
12289,4096,solve,25553.919922
12289,4096,solve,25709.728516
12289,4096,solve,25150.462891
12289,4096,solve,26176.511719
12289,4096,solve,25374.718750
12289,4096,solve,25417.728516
12289,4096,solve,25605.119141
12289,4096,solve,25807.902344
12289,4096,solve,25540.607422
12289,4096,solve,25484.224609
12289,4096,solve,25419.777344
12289,4096,solve,25942.015625
12289,4096,solve,25436.289062
12289,4096,solve,25876.576172
12289,4096,solve,26019.935547
12289,4096,solve,25983.072266
12289,4096,solve,25486.462891
12289,4096,solve,25729.025391
12289,4096,solve,27272.191406
12289,4096,solve,25294.847656
12289,4096,solve,25152.511719
12289,4096,solve,25223.167969
12289,4096,solve,25563.072266
12289,4096,solve,25919.488281
12289,4096,solve,26063.808594
12289,4096,solve,26031.134766
12289,4096,solve,25887.744141
12289,4096,solve,25976.832031
12289,4096,solve,25895.935547
12289,4096,solve,26210.271484
12289,4096,solve,25951.201172
12289,4096,solve,26224.640625
12289,4096,solve,26191.871094
12289,4096,solve,26286.080078
12289,4096,solve,26157.056641
12289,4096,solve,25893.888672
12289,4096,solve,28860.416016
12289,4096,solve,25400.320312
12289,4096,solve,25286.656250
12289,4096,solve,25901.982422
12289,4096,solve,29111.294922
12289,4096,solve,25631.744141
12289,4096,solve,25690.111328
12289,4096,solve,25594.943359
12289,4096,solve,25508.832031
12289,4096,solve,25205.759766
12289,4096,solve,25470.976562
12289,4096,solve,25480.191406
12289,4096,solve,25419.777344
12289,4096,solve,25437.087891
12289,4096,solve,25596.927734
12289,4096,solve,25440.255859
12289,4096,solve,25530.369141
12289,4096,solve,25833.470703
12289,4096,solve,27445.248047
12289,4096,solve,25720.832031
12289,4096,solve,25956.351562
12289,4096,solve,26266.591797
12289,4096,solve,26027.007812
12289,4096,solve,25706.496094
12289,4096,solve,25414.656250
12289,4096,solve,25318.369141
12289,4096,solve,25834.496094
12289,4096,solve,25088.000000
12289,4096,solve,24951.839844
12289,4096,solve,25291.777344
12289,4096,solve,25929.728516
12289,4096,solve,25715.710938
12289,4096,solve,26039.294922
12289,4096,solve,25866.240234
12289,4096,solve,25601.025391
12289,4096,solve,25703.457031
12289,4096,solve,25621.503906
12289,4096,solve,25762.816406
12289,4096,solve,25540.576172
12289,4096,solve,25501.695312
12289,4096,solve,25796.607422
12289,4096,solve,25704.449219
12289,4096,solve,25873.408203
12289,4096,solve,25532.416016
12289,4096,solve,25405.537109
12289,4096,solve,25275.392578
12289,4096,solve,25620.480469
12289,4096,solve,25452.542969
12289,4096,solve,25419.777344
12289,4096,solve,25460.705078
12289,4096,solve,26080.255859
12289,4096,solve,25430.015625
12289,4096,solve,25347.072266
12289,4096,solve,25737.216797
12289,4096,solve,26153.984375
12289,4096,solve,26278.912109
12289,4096,solve,25937.919922
12289,4096,solve,25501.664062
12289,4096,solve,25382.912109
12289,4096,solve,25648.000000
12289,4096,solve,25559.041016
12289,4096,solve,25939.968750
12289,4096,solve,25428.992188
12289,4096,solve,25421.984375
12289,4096,solve,26135.550781
12289,4096,solve,26255.359375
12289,4096,solve,26213.375000
12289,4096,solve,26380.287109
12289,4096,solve,26206.207031
12289,4096,solve,25799.681641
12289,4096,solve,25274.369141
12289,4096,solve,25362.431641
12289,4096,solve,25292.800781
12289,4096,solve,25731.072266
12289,4096,solve,26012.671875
12289,4096,solve,25876.384766
12289,4096,solve,25485.310547
12289,4096,solve,25379.841797
12289,4096,solve,25384.960938
