vars,contraints,operation,elapsed_time
769,256,fillTableau,1127.423950
769,256,gauss1,474.112000
769,256,solve,2676.736084
769,256,solve,2095.104004
769,256,solve,4317.184082
769,256,solve,3300.352051
769,256,solve,3006.464111
769,256,solve,2633.728027
769,256,solve,2290.687988
769,256,solve,2467.776123
769,256,solve,2183.167969
769,256,solve,2211.839844
769,256,solve,2147.327881
769,256,solve,2535.424072
769,256,solve,6022.144043
769,256,solve,3153.919922
769,256,solve,2807.807861
769,256,solve,1412.096069
769,256,solve,1181.728027
769,256,solve,1197.056030
769,256,solve,1056.767944
769,256,solve,1172.479980
769,256,solve,1924.095947
769,256,solve,1684.479980
769,256,solve,1631.232056
769,256,solve,1440.767944
769,256,solve,1510.463989
769,256,solve,1481.760010
769,256,solve,1477.632080
769,256,solve,1328.031982
769,256,solve,1304.576050
769,256,solve,1329.151978
769,256,solve,1800.192017
769,256,solve,1342.463989
769,256,solve,1294.335938
769,256,solve,1615.872070
769,256,solve,1256.447998
769,256,solve,1022.848022
769,256,solve,1119.232056
769,256,solve,1131.520020
769,256,solve,890.880005
769,256,solve,921.599976
769,256,solve,925.696045
769,256,solve,724.992004
769,256,solve,927.743958
769,256,solve,1130.495972
769,256,solve,1353.728027
769,256,solve,1178.624023
769,256,solve,1058.815918
769,256,solve,850.943970
769,256,solve,1071.104004
769,256,solve,863.264038
769,256,solve,1048.576050
769,256,solve,1048.479980
769,256,solve,1229.823975
769,256,solve,805.888000
769,256,solve,1003.520020
769,256,solve,960.511963
769,256,solve,756.735962
769,256,solve,930.815979
769,256,solve,852.992004
769,256,solve,1250.208008
769,256,solve,1339.391968
769,256,solve,2245.568115
769,256,solve,1467.391968
769,256,solve,1082.303955
769,256,solve,926.720032
769,256,solve,733.183960
769,256,solve,801.792053
769,256,solve,924.671997
769,256,solve,726.080017
769,256,solve,933.888000
769,256,solve,934.912048
769,256,solve,970.752014
769,256,solve,1008.607971
769,256,solve,1216.511963
769,256,solve,1100.800049
769,256,solve,1026.047974
769,256,solve,1254.528076
769,256,solve,903.168030
769,256,solve,741.375977
769,256,solve,939.007996
769,256,solve,742.272034
769,256,solve,734.143982
769,256,solve,925.696045
769,256,solve,925.696045
769,256,solve,733.280029
769,256,solve,926.720032
769,256,solve,933.888000
769,256,solve,937.951965
769,256,solve,774.143982
769,256,solve,1158.079956
769,256,solve,1156.095947
769,256,solve,866.303955
769,256,solve,929.760010
769,256,solve,1404.927979
769,256,solve,979.968018
769,256,solve,919.552002
769,256,solve,737.280029
769,256,solve,768.096008
769,256,solve,932.864014
769,256,solve,720.895996
769,256,solve,912.383972
769,256,solve,940.031982
769,256,solve,743.424011
769,256,solve,964.608032
769,256,solve,956.416016
769,256,solve,1088.511963
769,256,solve,1087.488037
769,256,solve,974.911987
769,256,solve,756.735962
769,256,solve,929.791992
769,256,solve,917.504028
769,256,solve,929.696045
769,256,solve,769.023987
769,256,solve,974.847961
769,256,solve,755.711975
769,256,solve,934.912048
769,256,solve,986.112000
769,256,solve,921.599976
769,256,solve,737.280029
769,256,solve,963.552002
769,256,solve,957.472046
769,256,solve,961.536011
769,256,solve,1064.959961
769,256,solve,1005.535950
769,256,solve,968.703979
769,256,solve,727.039978
769,256,solve,924.671997
769,256,solve,926.720032
769,256,solve,921.599976
769,256,solve,922.591980
769,256,solve,927.743958
769,256,solve,928.768005
769,256,solve,932.864014
769,256,solve,724.992004
769,256,solve,733.183960
769,256,solve,924.671997
769,256,solve,719.872009
769,256,solve,930.815979
769,256,solve,931.840027
769,256,solve,973.824036
769,256,solve,728.064026
769,256,solve,721.920044
769,256,solve,724.992004
769,256,solve,719.872009
769,256,solve,919.552002
769,256,solve,921.599976
769,256,solve,719.872009
769,256,solve,924.671997
769,256,solve,931.840027
769,256,solve,926.720032
769,256,solve,923.648010
769,256,solve,728.064026
769,256,solve,919.552002
769,256,solve,717.791992
769,256,solve,1158.144043
769,256,solve,745.471985
769,256,solve,937.984009
769,256,solve,1060.799927
769,256,solve,1196.032104
769,256,solve,933.888000
769,256,solve,732.223999
769,256,solve,970.752014
769,256,solve,961.536011
769,256,solve,955.392029
769,256,solve,964.608032
769,256,solve,953.343994
769,256,solve,960.511963
769,256,solve,927.743958
769,256,solve,961.536011
769,256,solve,1199.104004
