vars,contraints,operation,elapsed_time
24577,8192,fillTableau,172451.843750
24577,8192,gauss1,48574.367188
24577,8192,solve,109841.406250
24577,8192,solve,101832.703125
24577,8192,solve,101918.718750
24577,8192,solve,101804.031250
24577,8192,solve,101967.875000
24577,8192,solve,101733.375000
24577,8192,solve,99874.820312
24577,8192,solve,102127.617188
24577,8192,solve,102336.507812
24577,8192,solve,102423.585938
24577,8192,solve,101462.976562
24577,8192,solve,100145.250000
24577,8192,solve,102129.664062
24577,8192,solve,102091.742188
24577,8192,solve,102626.304688
24577,8192,solve,101144.578125
24577,8192,solve,100039.679688
24577,8192,solve,102268.929688
24577,8192,solve,101967.875000
24577,8192,solve,101917.695312
24577,8192,solve,101949.601562
24577,8192,solve,102007.804688
24577,8192,solve,102002.687500
24577,8192,solve,102173.695312
24577,8192,solve,101904.382812
24577,8192,solve,102024.195312
24577,8192,solve,102148.093750
24577,8192,solve,102231.171875
24577,8192,solve,101941.343750
24577,8192,solve,103089.148438
24577,8192,solve,103759.875000
24577,8192,solve,101634.046875
24577,8192,solve,103758.882812
24577,8192,solve,102429.695312
24577,8192,solve,100311.039062
24577,8192,solve,102248.453125
24577,8192,solve,102103.039062
24577,8192,solve,102051.843750
24577,8192,solve,101566.468750
24577,8192,solve,102083.648438
24577,8192,solve,102087.679688
24577,8192,solve,102020.093750
24577,8192,solve,102034.367188
24577,8192,solve,101371.906250
24577,8192,solve,100117.500000
24577,8192,solve,102212.609375
24577,8192,solve,101212.156250
24577,8192,solve,102075.390625
24577,8192,solve,101776.382812
24577,8192,solve,102374.523438
24577,8192,solve,103179.257812
24577,8192,solve,101668.859375
24577,8192,solve,100039.679688
24577,8192,solve,101997.562500
24577,8192,solve,102139.835938
24577,8192,solve,101825.601562
24577,8192,solve,102037.507812
24577,8192,solve,101592.062500
24577,8192,solve,101916.671875
24577,8192,solve,102184.828125
24577,8192,solve,99978.242188
24577,8192,solve,102026.234375
24577,8192,solve,101907.453125
24577,8192,solve,102057.984375
24577,8192,solve,101759.007812
24577,8192,solve,101746.687500
24577,8192,solve,101693.445312
24577,8192,solve,101926.914062
24577,8192,solve,101656.578125
24577,8192,solve,101805.125000
24577,8192,solve,100145.148438
24577,8192,solve,102224.898438
24577,8192,solve,102397.953125
24577,8192,solve,101865.468750
24577,8192,solve,101607.359375
24577,8192,solve,102095.898438
24577,8192,solve,101266.437500
24577,8192,solve,100715.617188
24577,8192,solve,102707.195312
24577,8192,solve,102052.867188
24577,8192,solve,100484.093750
24577,8192,solve,102321.148438
24577,8192,solve,101829.539062
24577,8192,solve,101980.320312
24577,8192,solve,101768.187500
24577,8192,solve,101169.148438
24577,8192,solve,103907.328125
24577,8192,solve,103493.632812
24577,8192,solve,100223.937500
24577,8192,solve,102248.453125
24577,8192,solve,101848.132812
24577,8192,solve,102039.523438
24577,8192,solve,102805.531250
24577,8192,solve,100675.585938
24577,8192,solve,102454.265625
24577,8192,solve,102110.203125
24577,8192,solve,102122.656250
24577,8192,solve,101735.421875
24577,8192,solve,101853.187500
24577,8192,solve,101134.367188
24577,8192,solve,99954.687500
24577,8192,solve,101602.304688
24577,8192,solve,101987.328125
24577,8192,solve,102552.570312
24577,8192,solve,101965.820312
24577,8192,solve,101037.054688
24577,8192,solve,102451.203125
24577,8192,solve,101494.781250
24577,8192,solve,101096.484375
24577,8192,solve,103144.445312
24577,8192,solve,103649.273438
24577,8192,solve,103083.007812
24577,8192,solve,102191.101562
24577,8192,solve,101664.890625
24577,8192,solve,102565.890625
24577,8192,solve,102078.687500
24577,8192,solve,100427.773438
24577,8192,solve,102212.609375
24577,8192,solve,102144.992188
24577,8192,solve,101727.164062
24577,8192,solve,101767.164062
24577,8192,solve,101879.804688
24577,8192,solve,101725.093750
24577,8192,solve,101944.218750
24577,8192,solve,101687.203125
24577,8192,solve,102562.812500
24577,8192,solve,104462.335938
24577,8192,solve,101950.460938
24577,8192,solve,101873.664062
24577,8192,solve,102073.343750
24577,8192,solve,101653.500000
24577,8192,solve,101858.304688
24577,8192,solve,102020.960938
24577,8192,solve,102255.617188
24577,8192,solve,103214.078125
24577,8192,solve,100976.640625
24577,8192,solve,99907.585938
24577,8192,solve,101931.039062
24577,8192,solve,101686.273438
24577,8192,solve,100404.257812
24577,8192,solve,102154.242188
24577,8192,solve,102614.015625
24577,8192,solve,102219.773438
24577,8192,solve,101881.859375
24577,8192,solve,102609.914062
24577,8192,solve,100988.929688
24577,8192,solve,100846.593750
24577,8192,solve,104085.500000
24577,8192,solve,101548.156250
24577,8192,solve,100519.937500
24577,8192,solve,102246.398438
24577,8192,solve,102187.015625
24577,8192,solve,101330.750000
24577,8192,solve,102566.718750
24577,8192,solve,102728.703125
24577,8192,solve,103103.484375
24577,8192,solve,101833.765625
24577,8192,solve,100750.335938
24577,8192,solve,102400.000000
24577,8192,solve,101882.015625
24577,8192,solve,101952.640625
24577,8192,solve,101824.578125
24577,8192,solve,100426.750000
24577,8192,solve,102696.960938
24577,8192,solve,102123.523438
24577,8192,solve,102011.898438
24577,8192,solve,102208.507812
24577,8192,solve,102361.156250
24577,8192,solve,102160.382812
24577,8192,solve,101702.656250
24577,8192,solve,101916.671875
24577,8192,solve,101526.531250
24577,8192,solve,100740.093750
24577,8192,solve,102915.898438
24577,8192,solve,103143.421875
24577,8192,solve,100433.921875
24577,8192,solve,102494.210938
24577,8192,solve,102402.046875
24577,8192,solve,102289.406250
24577,8192,solve,101915.648438
24577,8192,solve,102750.203125
24577,8192,solve,101265.210938
24577,8192,solve,100981.757812
24577,8192,solve,102267.906250
24577,8192,solve,101815.171875
24577,8192,solve,100165.632812
24577,8192,solve,101772.195312
24577,8192,solve,101963.773438
24577,8192,solve,102452.351562
24577,8192,solve,101221.531250
24577,8192,solve,100123.617188
24577,8192,solve,101951.484375
24577,8192,solve,101828.640625
24577,8192,solve,100348.929688
24577,8192,solve,101689.343750
24577,8192,solve,101866.562500
24577,8192,solve,100915.203125
24577,8192,solve,102426.617188
24577,8192,solve,100729.859375
24577,8192,solve,104046.593750
24577,8192,solve,104720.382812
24577,8192,solve,102012.921875
24577,8192,solve,101617.664062
24577,8192,solve,102064.125000
24577,8192,solve,101992.445312
24577,8192,solve,102311.937500
24577,8192,solve,102051.843750
