vars,contraints,operation,elapsed_time
3073,1024,fillTableau,711.679993
3073,1024,gauss1,126.880005
3073,1024,solve,682.175964
3073,1024,solve,697.664001
3073,1024,solve,884.512024
3073,1024,solve,933.823975
3073,1024,solve,696.031982
3073,1024,solve,661.759949
3073,1024,solve,654.976013
3073,1024,solve,707.520020
3073,1024,solve,710.911987
3073,1024,solve,700.479980
3073,1024,solve,1253.344116
3073,1024,solve,667.072021
3073,1024,solve,699.520020
3073,1024,solve,656.319946
3073,1024,solve,694.143982
3073,1024,solve,692.831970
3073,1024,solve,653.471985
3073,1024,solve,939.360046
3073,1024,solve,669.503967
3073,1024,solve,696.384033
3073,1024,solve,692.416016
3073,1024,solve,693.055969
3073,1024,solve,710.208008
3073,1024,solve,656.096008
3073,1024,solve,696.384033
3073,1024,solve,1890.943970
3073,1024,solve,1427.360107
3073,1024,solve,690.015991
3073,1024,solve,670.239990
3073,1024,solve,704.223999
3073,1024,solve,1170.047974
3073,1024,solve,698.687988
3073,1024,solve,659.200012
3073,1024,solve,656.319946
3073,1024,solve,693.759949
3073,1024,solve,660.831970
3073,1024,solve,697.664001
3073,1024,solve,655.935974
3073,1024,solve,699.072021
3073,1024,solve,695.263977
3073,1024,solve,695.552002
3073,1024,solve,699.263977
3073,1024,solve,653.119995
3073,1024,solve,699.007996
3073,1024,solve,654.591980
3073,1024,solve,658.624023
3073,1024,solve,688.223999
3073,1024,solve,690.720032
3073,1024,solve,691.104004
3073,1024,solve,651.935974
3073,1024,solve,688.640015
3073,1024,solve,655.807983
3073,1024,solve,689.375977
3073,1024,solve,705.088013
3073,1024,solve,650.208008
3073,1024,solve,713.792053
3073,1024,solve,687.839966
3073,1024,solve,688.159973
3073,1024,solve,691.263977
3073,1024,solve,691.200012
3073,1024,solve,687.520020
3073,1024,solve,692.192017
3073,1024,solve,652.992004
3073,1024,solve,704.255981
3073,1024,solve,712.575989
3073,1024,solve,2567.456055
3073,1024,solve,698.495972
3073,1024,solve,1095.711914
3073,1024,solve,873.279968
3073,1024,solve,694.495972
3073,1024,solve,692.544006
3073,1024,solve,694.656006
3073,1024,solve,696.160034
3073,1024,solve,654.367981
3073,1024,solve,694.911987
3073,1024,solve,689.728027
3073,1024,solve,647.135986
3073,1024,solve,653.792053
3073,1024,solve,693.343994
3073,1024,solve,690.080017
3073,1024,solve,690.815979
3073,1024,solve,689.408020
3073,1024,solve,653.087952
3073,1024,solve,711.135986
3073,1024,solve,2636.320068
3073,1024,solve,710.143982
3073,1024,solve,700.031982
3073,1024,solve,1191.679932
3073,1024,solve,721.343994
3073,1024,solve,658.624023
3073,1024,solve,658.176025
3073,1024,solve,690.080017
3073,1024,solve,671.136047
3073,1024,solve,702.495972
3073,1024,solve,1263.488037
3073,1024,solve,1275.072021
3073,1024,solve,1258.944092
3073,1024,solve,1257.343994
3073,1024,solve,1262.367920
3073,1024,solve,2540.895996
3073,1024,solve,2005.503906
3073,1024,solve,1757.408081
3073,1024,solve,1265.439941
3073,1024,solve,1280.927979
3073,1024,solve,1274.528076
3073,1024,solve,1260.223999
3073,1024,solve,1256.960083
3073,1024,solve,1267.135986
3073,1024,solve,1278.048096
3073,1024,solve,1902.624023
3073,1024,solve,2579.904053
3073,1024,solve,1276.479980
3073,1024,solve,1265.312012
3073,1024,solve,1694.975952
3073,1024,solve,1268.959961
3073,1024,solve,1263.391968
3073,1024,solve,1263.424072
3073,1024,solve,1274.047974
3073,1024,solve,1623.359985
3073,1024,solve,1443.840088
3073,1024,solve,3179.231934
3073,1024,solve,698.719971
3073,1024,solve,1274.463989
3073,1024,solve,1260.352051
3073,1024,solve,1794.527954
3073,1024,solve,1294.816040
3073,1024,solve,1266.368042
3073,1024,solve,1219.200073
3073,1024,solve,1221.248047
3073,1024,solve,1200.832031
3073,1024,solve,1198.911987
3073,1024,solve,3140.671875
3073,1024,solve,1201.760010
3073,1024,solve,1200.063965
3073,1024,solve,1198.367920
3073,1024,solve,1699.679932
3073,1024,solve,1224.511963
3073,1024,solve,1205.728027
3073,1024,solve,1199.648071
3073,1024,solve,1215.807983
3073,1024,solve,1200.127930
3073,1024,solve,687.744019
3073,1024,solve,1853.375977
3073,1024,solve,4819.744141
3073,1024,solve,1201.184082
3073,1024,solve,1202.592041
3073,1024,solve,1557.375977
3073,1024,solve,669.536011
3073,1024,solve,1201.855957
3073,1024,solve,1203.232056
3073,1024,solve,1224.959961
3073,1024,solve,1197.919922
3073,1024,solve,2470.112061
3073,1024,solve,1938.336060
3073,1024,solve,1197.984009
3073,1024,solve,1217.984009
3073,1024,solve,1199.968018
3073,1024,solve,1200.319946
3073,1024,solve,1696.895996
3073,1024,solve,692.351990
3073,1024,solve,1201.024048
3073,1024,solve,693.312012
3073,1024,solve,1266.111938
3073,1024,solve,684.671997
3073,1024,solve,1895.712036
3073,1024,solve,2021.408081
3073,1024,solve,1770.336060
3073,1024,solve,1277.183960
3073,1024,solve,1282.783936
3073,1024,solve,1268.831909
3073,1024,solve,652.831970
3073,1024,solve,1263.488037
3073,1024,solve,1263.296021
3073,1024,solve,1288.703979
3073,1024,solve,1263.583984
3073,1024,solve,666.783997
